Year,Adriatic Sea,Andaman Sea,Arabian Sea,Atlantic Ocean,Baltic Sea,Bay Bengal,Bering Sea,Caribbean Sea,Gulf Mexico,Indian Ocean,Indonesian,Mediterranean,Nino,North Atlantic,North Pacific,North Sea,Pacific Ocean,Persian Gulf,Sea Japan,Sea Okhotsk,South China,Southern Ocean,Tropics,World,Yellow Sea
2002,21.457605633802817,-12.305492957746479,-9.099285714285713,5.240704225352113,-5.687857142857141,-8.675,-21.649285714285714,21.507323943661973,18.93642857142857,5.343571428571429,-22.111428571428572,12.802857142857142,13.662142857142857,6.061549295774648,14.74,9.756428571428572,11.122857142857143,-11.231428571428571,15.178571428571429,-0.14857142857142855,6.090714285714285,8.088571428571429,6.537857142857143,7.632142857142857,15.513943661971831
2003,6.458918918918919,5.065555555555555,8.750135135135135,16.96864864864865,-3.1777027027027027,2.6752702702702704,2.279594594594595,46.22945945945946,21.107432432432432,8.816891891891892,-17.985945945945947,1.4337837837837841,10.606891891891893,11.567837837837837,6.67054054054054,42.00067567567568,10.382972972972974,-3.122054794520548,21.668378378378378,-0.2494594594594596,13.462027027027027,11.232702702702703,12.34581081081081,11.550945945945946,16.744594594594595
2004,12.571944444444444,3.3776056338028173,-0.7856944444444439,15.494444444444444,37.97986111111111,3.3823611111111114,-7.015416666666666,7.251944444444444,14.932638888888887,8.441805555555554,-14.02888888888889,9.235555555555557,22.66347222222222,10.54277777777778,10.471388888888889,16.45736111111111,14.762500000000001,9.721428571428572,35.61333333333333,6.073888888888889,-2.3487499999999994,15.660833333333333,12.020416666666668,12.946805555555555,20.0975
2005,-5.028181818181818,8.592575757575759,15.710454545454548,18.01151515151515,42.34015151515151,18.55318181818182,-6.422878787878787,-1.2724242424242422,20.408333333333335,10.658939393939393,-6.149090909090909,-2.8084848484848486,13.065909090909091,8.425151515151514,2.51969696969697,10.260151515151515,16.383030303030303,-13.151818181818182,-6.944545454545455,2.0418181818181815,-24.616818181818182,18.34181818181818,15.019848484848486,14.378333333333334,-4.383636363636364
2006,4.80111111111111,-19.70388888888889,10.445555555555556,19.73611111111111,-2.2083333333333335,0.05944444444444446,1.2061111111111116,3.0616666666666665,0.5805555555555553,19.357777777777777,16.63222222222222,8.860555555555557,20.690555555555555,13.981666666666666,8.136666666666667,18.00111111111111,18.580555555555556,-8.050555555555555,2.791111111111111,-3.081666666666667,14.000555555555556,20.109444444444446,19.32111111111111,18.11,25.637777777777774
2007,-2.6016666666666666,-4.308918918918921,19.01162162162162,19.00945945945946,121.17837837837838,-5.332972972972973,-5.828648648648649,18.30333333333333,19.645945945945947,23.25027027027027,22.264054054054053,-1.8578378378378373,2.851891891891892,11.100810810810811,7.502432432432432,40.696756756756756,17.154054054054054,28.31108108108108,25.197567567567567,1.5018918918918922,7.015945945945945,21.01162162162162,19.18027027027027,18.192432432432433,12.559999999999999
2008,3.987735849056605,64.13653846153846,18.45596153846154,22.876730769230768,70.7951923076923,37.46326923076923,5.081538461538462,25.160377358490567,40.38115384615385,29.798846153846153,79.19057692307692,27.482884615384613,17.42480769230769,30.338846153846152,24.586923076923078,20.648653846153845,18.86576923076923,36.09538461538462,23.914423076923075,10.07673076923077,56.03615384615385,20.63980769230769,24.707692307692305,23.463076923076922,31.750566037735847
2009,25.884166666666665,32.80698630136986,37.35205479452055,26.72109589041096,-8.634931506849316,27.370694444444446,8.756986301369864,-1.3465753424657534,43.14821917808219,28.570136986301367,62.99890410958904,18.47109589041096,30.955479452054796,22.73849315068493,28.602602739726024,7.005068493150685,23.26876712328767,26.795277777777777,23.652083333333334,5.501369863013698,50.59833333333333,24.067945205479454,27.631643835616437,25.866301369863013,16.954520547945208
2010,65.00594594594594,64.79216216216216,34.939054054054054,27.851216216216212,-50.888513513513516,52.99689189189189,1.9132432432432431,25.872602739726027,6.0691891891891885,39.27972972972973,89.7395945945946,56.18472972972973,20.65554054054054,1.9878378378378379,21.385945945945945,0.4872602739726026,19.08810810810811,64.88540540540541,34.90824324324324,14.678513513513513,62.82324324324325,29.908783783783782,29.54351351351351,27.18783783783784,16.29445945945946
2011,28.086986301369862,37.33575342465754,37.25890410958904,27.578630136986302,66.52260273972603,49.66616438356164,7.936438356164384,17.03,16.126301369863015,36.25643835616439,90.25095890410958,13.288904109589042,25.96780821917808,5.650821917808219,24.1327397260274,37.19337837837838,18.44958904109589,47.34780821917808,16.27780821917808,4.2534246575342465,53.89931506849315,29.89945205479452,26.874109589041094,25.555342465753423,3.343561643835616
2012,19.68536231884058,63.50971014492754,46.82811594202899,35.204927536231885,95.03115942028985,44.73434782608696,4.356231884057971,36.56985507246377,60.03652173913044,45.5463768115942,76.56492753623188,27.698115942028988,38.1972463768116,35.368840579710145,39.826231884057975,11.604492753623187,31.801739130434786,45.998656716417905,49.70231884057971,18.732753623188405,68.03289855072464,37.29565217391305,37.492318840579706,36.45942028985507,54.96514705882353
2013,38.221199999999996,74.98307692307692,57.417884615384615,37.45096153846154,-25.922115384615385,60.19480769230769,6.348846153846154,27.92549019607843,36.02884615384615,44.356923076923074,111.68788461538462,27.459807692307695,34.564807692307696,16.85923076923077,27.94884615384615,2.465961538461537,31.84807692307692,50.18600000000001,16.904038461538462,12.807115384615384,68.14307692307692,46.09480769230769,38.00038461538462,37.24846153846154,18.679999999999996
2014,61.44351351351351,41.016666666666666,47.76888888888889,38.522777777777776,-19.044444444444448,43.50333333333333,40.68944444444444,54.88594594594595,49.38777777777778,45.72555555555556,34.90777777777778,36.574444444444445,52.708888888888886,28.412777777777777,46.346111111111114,17.765,40.11,55.86888888888889,48.99166666666667,39.17277777777778,42.08444444444444,43.871111111111105,41.650000000000006,41.10944444444445,40.578918918918916
2015,42.39486486486487,41.98783783783784,76.41243243243244,46.64432432432432,137.39594594594593,65.3727027027027,58.43351351351351,73.22918918918919,77.79513513513514,55.88756756756757,-18.795675675675678,17.765135135135136,76.45648648648648,40.48567567567568,56.115405405405404,57.692702702702704,50.170810810810806,96.04621621621622,31.908108108108106,54.233513513513515,28.74135135135135,53.39783783783784,50.40675675675676,49.89675675675676,33.0654054054054
2016,37.293142857142854,110.54985714285714,74.82814285714286,50.505428571428574,47.35228571428571,95.85042857142857,55.219142857142856,71.69957142857143,93.36,47.85785714285714,41.29,43.21714285714285,43.78242857142857,48.28528571428571,56.12657142857143,59.62185714285714,53.488,63.4404347826087,78.55285714285714,51.177571428571426,40.73471428571428,53.538428571428575,54.18214285714286,52.88171428571428,62.98405797101449
2017,1.1036000000000004,40.271764705882354,64.44333333333334,56.10078431372549,109.88019607843138,59.10078431372549,37.46823529411765,37.53470588235294,69.19921568627451,52.50529411764706,79.60941176470588,17.200588235294116,45.57450980392157,43.46745098039216,28.030392156862746,69.16392156862746,51.6078431372549,54.54692307692308,46.319607843137256,47.327254901960785,67.55411764705883,63.850392156862746,54.87058823529412,53.28078431372549,26.688235294117646
2018,64.08621621621622,50.296216216216216,45.24567567567567,63.28270270270271,26.16189189189189,44.95567567567568,44.68648648648649,55.10567567567568,73.43837837837837,54.24567567567567,56.40162162162162,60.838108108108116,70.57621621621622,62.13513513513514,59.8354054054054,48.88918918918919,57.31243243243243,51.14837837837838,32.64324324324325,38.392162162162165,47.483783783783785,60.44405405405405,57.394594594594594,57.677297297297294,35.696216216216214
2019,42.107142857142854,0.6800000000000003,80.1672972972973,71.55837837837838,69.91594594594594,43.64756756756757,35.28108108108108,82.41378378378378,101.99243243243242,64.25108108108108,5.820540540540541,46.381351351351356,64.93027027027027,66.72162162162162,64.74891891891892,67.94054054054054,62.30162162162162,102.02675675675675,59.75135135135135,37.84081081081081,53.97837837837838,65.95486486486486,64.71621621621621,63.869189189189186,54.961081081081076
2020,44.645,75.47714285714285,93.95055555555555,70.03,170.37833333333333,81.955,39.349999999999994,79.06055555555557,104.685,67.03388888888888,67.23555555555555,61.532777777777774,66.9738888888889,69.19166666666666,76.60222222222222,87.56944444444444,63.14111111111111,119.93857142857144,69.39722222222223,43.58,72.95555555555556,66.47333333333333,67.09166666666667,66.62166666666667,68.57444444444444
2021,39.43756756756757,119.28540540540541,91.29702702702703,76.96648648648649,61.85378378378379,126.42054054054056,21.83783783783784,70.00837837837838,92.71405405405406,66.00783783783784,131.95027027027027,56.811081081081085,73.60594594594595,73.66486486486487,84.81648648648648,70.11891891891892,67.96378378378378,132.51054054054055,83.64054054054054,42.22459459459459,87.04054054054055,72.22513513513513,72.52702702702703,71.82324324324324,70.02864864864864
2022,28.008333333333333,103.91666666666667,76.23625,71.02878787878787,128.47451612903225,98.8428125,33.6678125,87.0725,112.6578125,73.34575757575757,147.4309375,45.41290322580645,74.39727272727274,74.7415625,76.8734375,107.3525806451613,65.29848484848485,94.36466666666666,81.304375,48.998125,105.7048484848485,73.55757575757576,71.07909090909091,70.69484848484848,71.8353125
